"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","symbol","entrez"
"ENSG00000123689",21.7892108035725,2.71950373556369,0.495477440524977,5.48865299030016,4.05010391244771e-08,1.45871044627699e-07,"G0/G1 switch 2","G0S2","50486"
"ENSG00000117594",138.031343314429,2.44698136607219,0.183673618073248,13.322443319521,1.71404714394477e-40,2.34337911015381e-39,"hydroxysteroid 11-beta dehydrogenase 1","HSD11B1","3290"
"ENSG00000143469",154.097372688971,2.60925835791098,0.180075238466569,14.4898231435378,1.40504116366431e-47,2.27554908462468e-46,"synaptotagmin 14","SYT14","255928"
"ENSG00000117650",126.838303527204,-3.43633089724672,0.220272576287661,-15.6003573171047,7.23878344088194e-55,1.38552195261971e-53,"NIMA related kinase 2","NEK2","4751"
"ENSG00000143476",150.445624494916,-2.75839058632263,0.189069738089541,-14.5892759687237,3.28667187054887e-48,5.41822930963639e-47,"denticleless E3 ubiquitin protein ligase homolog","DTL","51514"
"ENSG00000143494",125.361654022723,2.20923216531442,0.188093886825844,11.7453693078284,7.45959078544773e-32,7.85281778542348e-31,"vasohibin 2","VASH2","79805"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729395,-36.1399178936196,5.35778353379665e-286,2.21230320962996e-283,"centromere protein F","CENPF","1063"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896457,-35.1930555341797,2.5536798156345e-271,9.40903328070533e-269,"poly(ADP-ribose) polymerase 1","PARP1","142"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375006,29.3531100696613,2.18081805455741e-189,3.34801005084033e-187,"signal induced proliferation associated 1 like 2","SIPA1L2","57568"
"ENSG00000174371",83.3010613307275,-2.50283621059598,0.237784740185561,-10.5256384772329,6.58137267618226e-26,5.73603018933023e-25,"exonuclease 1","EXO1","9156"
"ENSG00000197472",3.34438630074425,-2.68497866096188,1.16871801720448,-2.29737081266552,0.0215976253305662,0.0399279731713353,"zinc finger protein 695","ZNF695","57116"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791516,-28.4493217297186,4.96814084876647e-178,6.59643782244326e-176,"ribonucleotide reductase regulatory subunit M2","RRM2","6241"
"ENSG00000162975",265.399863805106,2.24095259482393,0.134614673006702,16.6471644195307,3.17283800809418e-62,7.07432474482482e-61,"potassium voltage-gated channel modifier subfamily F member 1","KCNF1","3754"
"ENSG00000196208",10.1619789404487,2.2352510082271,0.648945205886444,3.44443720047797,0.00057224955333969,0.00135439439812435,"growth regulating estrogen receptor binding 1","GREB1","9687"
"ENSG00000162981",79.2791589935576,2.5975206090534,0.24729460988105,10.5037493955199,8.3015814495897e-26,7.20545980000312e-25,"LRAT domain containing 1","LRATD1","151354"
"ENSG00000143867",287.341815489332,-2.50819525805817,0.13076015573185,-19.1816478346947,5.2683953210181e-82,1.66621481204216e-80,"odd-skipped related transcription factor 1","OSR1","130497"
"ENSG00000115163",75.4012085365385,-2.89064132299117,0.257942151654119,-11.2065488500201,3.78671709719411e-29,3.67403795776477e-28,"centromere protein A","CENPA","1058"
"ENSG00000075426",1241.54577193998,-2.02417343922894,0.0754066735931277,-26.8434256913491,1.00651912785973e-158,1.0373481752725e-156,"FOS like 2, AP-1 transcription factor subunit","FOSL2","2355"
"ENSG00000213626",2217.24066575268,-2.41398326460871,0.222956000862609,-10.8271733224003,2.55934239395911e-27,2.34720523971185e-26,"LBH regulator of WNT signaling pathway","LBH","81606"
"ENSG00000152689",276.651098223156,2.81650085448466,0.155472403625896,18.1157606674805,2.39341594266607e-73,6.63048198552866e-72,"RAS guanyl releasing protein 3","RASGRP3","25780"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112126,-38.2511822462081,0,0,"cysteine rich transmembrane BMP regulator 1","CRIM1","51232"
"ENSG00000163171",4580.95736441411,-2.02028700913573,0.134812193242524,-14.9859368098943,9.07370674482279e-51,1.58822197155817e-49,"CDC42 effector protein 3","CDC42EP3","10602"
"ENSG00000119865",249.515401681249,-2.02244438376139,0.13005686470641,-15.550462394483,1.57961239738686e-54,2.98465737342148e-53,"cannabinoid receptor interacting protein 1","CNRIP1","25927"
"ENSG00000124374",5.20803296766438,-3.32065827442418,1.06438901715525,-3.11977878473338,0.00180986904757912,0.00401231197701881,"poly(A) binding protein interacting protein 2B","PAIP2B","400961"
"ENSG00000003137",8.76343847232493,3.53934185987151,0.873226647402537,4.05317665281916,5.05268195276834e-05,0.000135615419085594,"cytochrome P450 family 26 subfamily B member 1","CYP26B1","56603"
"ENSG00000115353",50.0429620001663,2.88915296202429,0.330806366073788,8.73366796508337,2.46544157621277e-18,1.58187540053217e-17,"tachykinin receptor 1","TACR1","6869"
"ENSG00000121152",152.85489754481,-3.12641827860562,0.196005095085349,-15.9506990226159,2.81725807079437e-57,5.79089950451429e-56,"non-SMC condensin I complex subunit H","NCAPH","23397"
"ENSG00000071073",3.46291517256694,3.18091734688403,1.31796942399694,2.41349859030677,0.0158001890059018,0.0300546186846903,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","MGAT4A","11320"
"ENSG00000204634",105.628668318824,2.1128870536952,0.199366215924655,10.5980195485764,3.04357079510742e-26,2.67957863669613e-25,"TBC1 domain family member 8","TBC1D8","11138"
"ENSG00000175874",6.41245930957333,3.04699926212644,0.91882887206609,3.31617709756433,0.000912579785479572,0.00210874896180589,"cellular repressor of E1A stimulated genes 2","CREG2","200407"
"ENSG00000115594",2297.59335914873,2.15205095026834,0.147470564297107,14.5930881903498,3.10803835499711e-48,5.1294814418754e-47,"interleukin 1 receptor type 1","IL1R1","3554"
"ENSG00000115598",5.94873065008552,2.25668259266935,0.839177004353843,2.68916162020785,0.00716317287291422,0.0144616053430604,"interleukin 1 receptor like 2","IL1RL2","8808"
"ENSG00000115602",6.50423948845808,2.16375726224274,0.793425724090011,2.72710752443069,0.00638922151973092,0.0130151135808976,"interleukin 1 receptor like 1","IL1RL1","9173"
"ENSG00000115604",61.724297491399,2.81769734893151,0.328765710641938,8.57053292884393,1.03007224794426e-17,6.41911407619557e-17,"interleukin 18 receptor 1","IL18R1","8809"
"ENSG00000144057",2.64110959457406,3.71688820470063,1.47963099767813,2.51203726505679,0.0120036412419964,0.0233698368064126,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2","ST6GAL2","84620"
"ENSG00000144063",5.03872701559054,-3.32178567796104,1.06426524693557,-3.12120092949172,0.0018011509389524,0.00399418635845328,"mal, T cell differentiation protein like","MALL","7851"
"ENSG00000169679",337.231679499979,-3.03236821343323,0.128306142161085,-23.6338507444652,1.73024352352642e-123,1.09443472316448e-121,"BUB1 mitotic checkpoint serine/threonine kinase","BUB1","699"
"ENSG00000169607",221.929375835469,-2.69605301193568,0.151923161487714,-17.7461618461231,1.84543539929242e-70,4.83091064205536e-69,"cytoskeleton associated protein 2 like","CKAP2L","150468"
"ENSG00000115008",27.9078867067545,2.55770327959634,0.42137563798203,6.06988883326333,1.27998821333293e-09,5.1320898676881e-09,"interleukin 1 alpha","IL1A","3552"
"ENSG00000125538",286.388991435147,4.46985055150563,0.207655477484094,21.5253197539565,9.01961223135343e-103,4.11551223113582e-101,"interleukin 1 beta","IL1B","3553"
"ENSG00000072163",287.67373232416,-2.13384757661691,0.125445685773339,-17.0101312250183,6.90828697754602e-65,1.63163995953643e-63,"LIM zinc finger domain containing 2","LIMS2","55679"
"ENSG00000183840",26.8612125827041,-2.10051835592375,0.385945202070998,-5.44253003963331,5.25290987505934e-08,1.86998516276871e-07,"G protein-coupled receptor 39","GPR39","2863"
"ENSG00000076003",377.504275716566,-2.10497620665842,0.112757755469251,-18.6681279518058,8.99508625302296e-78,2.68903815815522e-76,"minichromosome maintenance complex component 6","MCM6","4175"
"ENSG00000168702",34.6315391639251,3.4739817517874,0.451735971332988,7.69029249881593,1.4679903035939e-14,7.91629750983056e-14,"LDL receptor related protein 1B","LRP1B","53353"
"ENSG00000115919",322.712914406034,3.79055529846719,0.170571048675245,22.2227354988251,2.07065838099405e-109,1.03800555166974e-107,"kynureninase","KYNU","8942"
"ENSG00000123610",275.845431876023,2.6984196135197,0.274256440548997,9.83903826695228,7.64380129342923e-23,6.04693201624047e-22,"TNF alpha induced protein 6","TNFAIP6","7130"
"ENSG00000153234",635.93920101828,4.3264077758026,0.137032426265836,31.5721460511076,8.90724413004887e-219,1.87535662840943e-216,"nuclear receptor subfamily 4 group A member 2","NR4A2","4929"
"ENSG00000163072",5.24602695546976,-2.91514758404931,0.981193476885857,-2.97102218137599,0.00296810342485918,0.00638410803788305,"nitric oxide synthase trafficking","NOSTRIN","115677"
"ENSG00000152253",57.6296411054703,-3.10582925145335,0.3165093084781,-9.8127580082475,9.92189600899553e-23,7.80720252966237e-22,"SPC25 component of NDC80 kinetochore complex","SPC25","57405"
"ENSG00000144354",79.3321845773423,-2.42822134394668,0.247209706565918,-9.82251618546055,9.0066885716938e-23,7.10222451415855e-22,"cell division cycle associated 7","CDCA7","83879"
"ENSG00000064989",10.3318553999407,-2.50582244558123,0.649523594247378,-3.85793906145134,0.000114347146943474,0.000294572321561426,"calcitonin receptor like receptor","CALCRL","10203"
"ENSG00000182329",4.35839966181653,-2.19812566529719,0.985804140997599,-2.22977929781545,0.0257620984248657,0.0469264375955594,"KIAA2012","KIAA2012","100652824"
"ENSG00000138439",346.205455204326,2.55684237527185,0.126390523051488,20.2297000878006,5.36281306954001e-91,2.03703966543507e-89,"family with sequence similarity 117 member B","FAM117B","150864"
"ENSG00000183671",14.5620913396255,-3.6124469377238,0.671637313977754,-5.37856796003363,7.508064083858e-08,2.63524287849248e-07,"chemerin chemokine-like receptor 2","CMKLR2","2825"
"ENSG00000138376",75.538491786139,-2.42844113512532,0.238672869758999,-10.174768240636,2.57011073094851e-24,2.13639548520694e-23,"BRCA1 associated RING domain 1","BARD1","580"
"ENSG00000175084",5.41529895030962,-2.23011187430296,0.875128921617458,-2.54832381745669,0.0108241945796794,0.0212470758997714,"desmin","DES","1674"
"ENSG00000152049",330.933800670777,2.4877445382413,0.12692137973457,19.6006736094731,1.52590620584266e-85,5.26669921819886e-84,"potassium voltage-gated channel subfamily E regulatory subunit 4","KCNE4","23704"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704494,31.5755460911244,7.99970833080929e-219,1.70869132434011e-216,"secretogranin II","SCG2","7857"
"ENSG00000163273",40.864509174533,2.42765728339209,0.344127613100844,7.05452625994498,1.73189744243952e-12,8.36601262100087e-12,"natriuretic peptide C","NPPC","4880"
"ENSG00000168918",21.8304031928055,2.56593711056691,0.465430771223424,5.51303710285877,3.52693842825522e-08,1.27746420633142e-07,"inositol polyphosphate-5-phosphatase D","INPP5D","3635"
"ENSG00000123485",260.197140320079,-2.65014571276407,0.140972159743437,-18.7990715158739,7.68498720534302e-79,2.33048027638571e-77,"Holliday junction recognition protein","HJURP","55355"
"ENSG00000144619",15.3158806933518,3.76271687136146,0.694576929037143,5.41727879815635,6.05129438720057e-08,2.14333036958813e-07,"contactin 4","CNTN4","152330"
"ENSG00000163701",25.3560683438015,-2.76670355149963,0.430550735091862,-6.42596406416383,1.31036358462323e-10,5.62216550514618e-10,"interleukin 17 receptor E","IL17RE","132014"
"ENSG00000144554",150.096850302816,-2.09867755890384,0.173739056433798,-12.0794805841686,1.3557342730611e-33,1.51945336246194e-32,"FA complementation group D2","FANCD2","2177"
"ENSG00000144712",93.6408411442784,-2.31071707403517,0.213841312589871,-10.8057561284564,3.23282458629051e-27,2.95017763174919e-26,"cullin associated and neddylation dissociated 2 (putative)","CAND2","23066"
"ENSG00000129810",38.890579035127,-2.65416038435034,0.352802719428499,-7.52307235230436,5.35037951150084e-14,2.81018864007482e-13,"shugoshin 1","SGO1","151648"
"ENSG00000163491",142.818009557937,2.07230064530167,0.171446715082613,12.0871411522998,1.23510081968496e-33,1.38636069158545e-32,"NIMA related kinase 10","NEK10","152110"
"ENSG00000114739",291.174217170139,3.56367290530309,0.161345201862139,22.0872567896259,4.19084420811119e-108,2.07263966238734e-106,"activin A receptor type 2B","ACVR2B","93"
"ENSG00000168334",3.89335446916111,-3.46723385590848,1.26294093301207,-2.74536501690482,0.00604436270564436,0.0123769675185868,"xin actin binding repeat containing 1","XIRP1","165904"
"ENSG00000163808",109.837962751288,-3.0009715092921,0.219608373205918,-13.6651051391297,1.64066639592648e-42,2.36365018017248e-41,"kinesin family member 15","KIF15","56992"
"ENSG00000183763",46.4072133448064,-3.39894311381412,0.35874538947013,-9.47452765548956,2.67970307580218e-21,1.9796222521891e-20,"TRAF interacting protein","TRAIP","10293"
"ENSG00000164087",120.649607655748,-2.01472832750526,0.194793417142543,-10.3428973989965,4.50700881811349e-25,3.83955467984721e-24,"POC1 centriolar protein A","POC1A","25886"
"ENSG00000168306",54.1184165522606,-2.34721822816402,0.277775010258021,-8.45006981003699,2.91128692370056e-17,1.77080258693763e-16,"acyl-CoA oxidase 2","ACOX2","8309"
"ENSG00000044524",3.9318647308226,-2.86752640573709,1.11380287707735,-2.57453671987412,0.0100374431435524,0.0197981580633934,"EPH receptor A3","EPHA3","2042"
"ENSG00000144821",12.7124666863379,-2.26563778968577,0.571561663670614,-3.96394288436993,7.37218980966321e-05,0.000194193625406285,"myosin heavy chain 15","MYH15","22989"
"ENSG00000163507",227.058322893011,-2.08827295427786,0.140355799257791,-14.8784230172231,4.55100484251906e-50,7.84476132971297e-49,"cellular inhibitor of PP2A","CIP2A","57650"
"ENSG00000051341",119.498988823157,-2.83473314987121,0.216256520158966,-13.1081973749852,2.95539625142873e-39,3.89246022819988e-38,"DNA polymerase theta","POLQ","10721"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898302,-36.4661327225834,3.81873143605109e-291,1.94070565188003e-288,"monoglyceride lipase","MGLL","11343"
"ENSG00000114654",3.38419453839636,4.09710319829927,1.41713466685426,2.89111775622142,0.00383874254027683,0.00811931509164752,"EF-hand and coiled-coil domain containing 1","EFCC1","79825"
"ENSG00000183770",20.5195109936707,2.47292695425007,0.488816358501214,5.05901022181918,4.21438277122215e-07,1.39827945255002e-06,"forkhead box L2","FOXL2","668"
"ENSG00000206262",4.7773637716545,2.17907472864802,0.938236449569164,2.32252192893236,0.0202048490425526,0.0375746454497337,"FOXL2 neighbor","FOXL2NB","401089"
"ENSG00000155903",1023.35613415789,2.05089158351227,0.0724505356556458,28.3074730221466,2.79630988086647e-176,3.6150890372114e-174,"RAS p21 protein activator 2","RASA2","5922"
"ENSG00000175040",589.693116509631,2.02107463308378,0.0941513978275539,21.4662201488027,3.22181657710248e-102,1.45653781329253e-100,"carbohydrate sulfotransferase 2","CHST2","9435"
"ENSG00000144893",18.9907813205522,2.34574550616827,0.478470798388532,4.90258865132132,9.45819076113052e-07,3.04554982384841e-06,"mediator complex subunit 12L","MED12L","116931"
"ENSG00000152580",5.06539953075312,2.64058980502346,0.970551635947357,2.72071027158279,0.00651418276939046,0.0132550083743306,"immunoglobulin superfamily member 10","IGSF10","285313"
"ENSG00000114771",8.87502828904809,2.07181618835756,0.679211968657759,3.05032343945857,0.00228595042248847,0.00499486098245145,"arylacetamide deacetylase","AADAC","13"
"ENSG00000169860",2.90364219795727,4.90435771255827,1.46081701296161,3.3572703966634,0.000787160906673396,0.00183504863058407,"purinergic receptor P2Y1","P2RY1","5028"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353569988,35.1779683944861,4.3440722585592e-271,1.56153504747916e-268,"membrane metalloendopeptidase","MME","4311"
"ENSG00000180044",6.36573700666312,2.3639296902697,0.825407936741268,2.86395318610887,0.00418389840912218,0.00879382412345161,"chromosome 3 open reading frame 80","C3orf80","401097"
"ENSG00000163590",45.0929332528725,2.1237854883765,0.307690117705472,6.90235196441842,5.11485134000586e-12,2.40455116583753e-11,"protein phosphatase, Mg2+/Mn2+ dependent 1L","PPM1L","151742"
"ENSG00000013297",3890.38900873251,-2.90578849584538,0.198946772026378,-14.6058589754857,2.5771349872983e-48,4.2628300160272e-47,"claudin 11","CLDN11","5010"
"ENSG00000013293",186.24913145338,-3.41951074687177,0.18704834856805,-18.2814270911765,1.16341725683745e-74,3.27847868666736e-73,"solute carrier family 7 member 14","SLC7A14","57709"
"ENSG00000114796",586.82411052868,2.29706369421061,0.0986860203283239,23.2764852262599,7.67337582407518e-120,4.40039738891906e-118,"kelch like family member 24","KLHL24","54800"
"ENSG00000163898",19.1195209153036,-2.46012247496534,0.476750616599456,-5.16018729564061,2.46702907669146e-07,8.33732504753009e-07,"lipase H","LIPH","200879"
